income,sex,race,age,hs_week
<=50K,Female,White,43,40
<=50K,Female,White,47,38
<=50K,Female,White,34,40
<=50K,Female,Asian-Pac-Islander,33,40
<=50K,Male,White,21,35
>50K,Male,White,52,45
<=50K,Male,White,48,46
<=50K,Male,White,23,40
<=50K,Male,Black,71,2
<=50K,Male,White,29,60
<=50K,Male,Black,42,50
<=50K,Female,White,68,20
<=50K,Female,White,25,40
<=50K,Female,Asian-Pac-Islander,44,40
<=50K,Female,Asian-Pac-Islander,28,40
>50K,Male,White,45,40
<=50K,Female,White,36,40
<=50K,Male,White,39,42
<=50K,Male,White,46,40
<=50K,Male,White,18,16
<=50K,Female,White,66,20
<=50K,Male,White,27,40
<=50K,Male,White,28,40
>50K,Male,White,51,40
<=50K,Male,White,27,50
>50K,Male,White,28,40
<=50K,Female,White,27,25
<=50K,Male,Black,21,40
<=50K,Male,Black,34,40
<=50K,Male,White,18,12
<=50K,Male,White,33,65
>50K,Male,Black,44,38
<=50K,Female,White,43,40
<=50K,Male,Black,30,45
>50K,Male,White,40,40
>50K,Male,White,37,42
<=50K,Male,Black,34,40
<=50K,Female,White,41,40
<=50K,Female,White,53,50
<=50K,Female,White,31,50
>50K,Male,White,58,1
<=50K,Female,Black,38,28
<=50K,Male,White,24,40
<=50K,Male,Black,41,40
<=50K,Male,White,47,45
<=50K,Male,White,41,24
<=50K,Male,White,23,40
<=50K,Male,White,36,40
>50K,Female,White,40,55
>50K,Male,White,35,40
<=50K,Male,White,24,40
<=50K,Female,White,26,40
<=50K,Male,White,19,40
>50K,Male,White,51,50
<=50K,Female,White,42,40
<=50K,Female,White,37,35
<=50K,Female,White,18,40
>50K,Male,Black,36,36
<=50K,Male,White,35,60
>50K,Female,White,58,35
<=50K,Female,White,17,12
<=50K,Male,Black,44,40
>50K,Male,White,37,40
<=50K,Female,Amer-Indian-Eskimo,35,40
<=50K,Male,Asian-Pac-Islander,60,40
>50K,Male,White,54,40
>50K,Male,Black,37,60
<=50K,Female,White,50,40
<=50K,Male,White,38,50
<=50K,Male,White,45,55
<=50K,Male,White,25,40
<=50K,Male,White,31,40
<=50K,Male,White,64,40
<=50K,Male,Black,90,40
<=50K,Male,Black,54,20
<=50K,Female,White,53,35
<=50K,Female,White,18,40
<=50K,Female,Amer-Indian-Eskimo,60,10
<=50K,Male,White,66,50
<=50K,Female,White,75,20
<=50K,Female,White,65,40
<=50K,Male,Black,35,40
<=50K,Female,Black,41,38
<=50K,Male,White,25,42
<=50K,Female,Other,33,40
>50K,Male,White,28,55
<=50K,Male,White,59,40
<=50K,Female,White,40,38
>50K,Male,White,41,50
>50K,Male,White,38,70
<=50K,Male,White,23,40
>50K,Male,White,40,40
<=50K,Female,White,41,20
<=50K,Male,White,24,50
<=50K,Male,White,20,20
<=50K,Male,White,38,40
<=50K,Male,White,56,35
>50K,Male,White,58,45
<=50K,Female,White,32,34
>50K,Male,White,40,60
<=50K,Male,White,45,40
>50K,Female,White,41,40
<=50K,Female,Black,42,40
<=50K,Female,Black,59,30
<=50K,Male,White,19,40
<=50K,Male,White,58,20
>50K,Male,Asian-Pac-Islander,42,40
<=50K,Female,White,20,40
<=50K,Female,White,32,30
<=50K,Female,White,45,45
<=50K,Male,White,50,40
<=50K,Female,White,36,40
<=50K,Male,White,45,60
<=50K,Male,White,17,12
<=50K,Male,White,59,40
<=50K,Male,White,26,40
>50K,Male,Asian-Pac-Islander,37,75
<=50K,Male,White,19,24
>50K,Male,White,64,40
<=50K,Female,White,33,45
>50K,Female,White,33,40
>50K,Male,White,61,40
<=50K,Male,White,17,24
<=50K,Male,White,50,98
<=50K,Male,White,27,35
<=50K,Female,White,30,40
<=50K,Male,Black,43,40
>50K,Male,White,44,40
<=50K,Female,White,35,40
<=50K,Female,White,25,40
>50K,Female,White,24,48
<=50K,Female,White,22,15
>50K,Male,White,42,40
<=50K,Female,Black,34,45
<=50K,Female,White,60,42
<=50K,Male,White,21,40
>50K,Male,White,57,40
>50K,Male,White,41,60
<=50K,Male,White,50,45
<=50K,Female,White,25,40
<=50K,Male,White,50,40
<=50K,Male,White,36,45
<=50K,Female,White,31,40
<=50K,Male,White,29,56
<=50K,Male,White,21,45
<=50K,Female,Black,27,40
<=50K,Male,White,65,16
<=50K,Female,White,37,60
<=50K,Female,Asian-Pac-Islander,39,40
<=50K,Male,White,24,40
<=50K,Male,White,38,80
>50K,Male,White,48,40
<=50K,Female,Asian-Pac-Islander,21,25
>50K,Male,White,31,45
>50K,Male,White,55,40
<=50K,Female,Asian-Pac-Islander,24,40
<=50K,Female,White,43,40
<=50K,Male,White,26,45
<=50K,Female,White,46,33
>50K,Male,White,35,40
>50K,Male,White,41,54
<=50K,Male,White,26,40
>50K,Male,Asian-Pac-Islander,34,35
<=50K,Female,Black,19,25
>50K,Female,Black,36,40
<=50K,Male,White,22,15
<=50K,Male,White,24,40
<=50K,Male,White,77,40
<=50K,Female,White,22,40
<=50K,Female,White,29,40
<=50K,Female,White,62,24
<=50K,Male,White,39,40
<=50K,Male,White,43,50
<=50K,Male,White,35,45
<=50K,Female,White,29,40
<=50K,Male,White,76,10
<=50K,Male,White,63,45
<=50K,Female,Black,23,15
>50K,Female,White,43,50
<=50K,Male,White,58,40
<=50K,Male,White,66,55
<=50K,Male,Black,41,45
<=50K,Male,White,26,40
<=50K,Male,White,47,40
<=50K,Male,White,55,40
<=50K,Male,White,53,40
<=50K,Male,White,17,48
<=50K,Male,White,30,40
<=50K,Male,White,49,60
<=50K,Male,Black,19,30
<=50K,Male,Black,45,40
<=50K,Male,White,26,40
>50K,Male,White,38,40
>50K,Male,White,36,40
<=50K,Male,White,33,20
<=50K,Female,Black,22,40
<=50K,Male,White,43,42
<=50K,Male,White,67,8
<=50K,Female,White,30,40
<=50K,Male,White,56,25
<=50K,Male,White,31,25
>50K,Male,White,33,40
<=50K,Male,White,26,40
>50K,Male,White,33,40
<=50K,Male,White,46,30
>50K,Male,White,59,40
>50K,Male,White,38,40
<=50K,Male,Other,65,40
>50K,Male,White,40,40
<=50K,Female,White,42,35
<=50K,Male,White,26,40
<=50K,Female,White,36,24
>50K,Male,White,62,40
<=50K,Male,White,43,45
>50K,Male,White,43,45
<=50K,Male,White,22,55
<=50K,Male,White,28,40
<=50K,Male,White,56,45
<=50K,Female,White,22,15
>50K,Female,White,57,45
<=50K,Female,White,39,40
<=50K,Female,White,26,15
<=50K,Male,White,17,10
>50K,Male,White,40,38
<=50K,Male,Black,45,40
<=50K,Male,Black,44,40
<=50K,Female,White,20,10
<=50K,Female,White,33,40
<=50K,Male,White,23,40
<=50K,Male,White,46,30
<=50K,Male,White,38,50
<=50K,Male,White,54,40
<=50K,Female,White,46,45
<=50K,Male,White,25,40
<=50K,Female,White,46,40
<=50K,Female,White,36,40
<=50K,Female,White,23,25
<=50K,Male,White,29,40
>50K,Female,White,44,6
<=50K,Female,White,19,16
<=50K,Female,White,19,40
>50K,Female,White,35,40
<=50K,Male,White,27,50
<=50K,Male,White,46,40
>50K,Male,White,34,45
<=50K,Female,White,34,35
<=50K,Male,White,44,40
<=50K,Female,White,45,40
<=50K,Female,White,20,35
>50K,Male,White,25,55
>50K,Male,White,52,50
<=50K,Male,White,20,40
<=50K,Female,White,28,40
>50K,Male,White,50,40
<=50K,Female,White,34,64
<=50K,Male,Other,28,40
>50K,Male,White,41,65
<=50K,Male,White,28,40
<=50K,Male,White,46,25
>50K,Female,White,28,40
<=50K,Male,White,32,50
<=50K,Female,Black,41,24
<=50K,Female,Black,24,40
<=50K,Female,White,33,40
>50K,Male,White,46,60
<=50K,Male,White,31,40
>50K,Male,White,35,50
<=50K,Male,White,52,40
<=50K,Female,White,30,19
<=50K,Male,Black,34,40
<=50K,Female,White,34,40
<=50K,Male,White,20,30
<=50K,Male,White,17,18
>50K,Female,White,32,40
<=50K,Male,White,29,40
<=50K,Female,White,33,35
<=50K,Male,White,25,60
<=50K,Male,White,36,40
<=50K,Male,White,23,72
>50K,Male,White,63,40
<=50K,Male,White,47,40
<=50K,Male,White,80,24
<=50K,Male,White,17,40
<=50K,Female,White,40,40
>50K,Female,White,30,25
<=50K,Male,Asian-Pac-Islander,27,40
>50K,Male,White,33,50
<=50K,Male,Black,34,60
<=50K,Female,White,34,40
<=50K,Male,White,23,40
<=50K,Female,White,42,40
<=50K,Male,White,29,40
<=50K,Female,White,45,28
<=50K,Male,White,24,40
>50K,Male,White,44,40
<=50K,Male,White,27,40
<=50K,Male,White,20,35
<=50K,Female,Black,44,40
<=50K,Male,Amer-Indian-Eskimo,51,40
<=50K,Male,White,20,40
<=50K,Female,White,17,5
<=50K,Female,Black,19,40
>50K,Male,White,45,55
>50K,Male,White,60,40
>50K,Male,Black,42,40
>50K,Female,White,44,40
>50K,Male,Asian-Pac-Islander,40,40
<=50K,Female,White,30,40
<=50K,Male,Black,38,50
<=50K,Male,White,23,60
<=50K,Male,White,32,40
<=50K,Male,White,44,40
<=50K,Male,Black,54,40
<=50K,Male,White,32,50
<=50K,Male,White,50,40
<=50K,Female,White,24,20
<=50K,Female,White,37,60
<=50K,Male,White,52,40
<=50K,Male,White,38,40
>50K,Male,White,49,45
>50K,Female,White,30,16
>50K,Male,White,60,40
<=50K,Male,White,22,40
<=50K,Male,White,35,40
<=50K,Male,White,30,60
<=50K,Female,White,67,24
<=50K,Female,White,46,40
<=50K,Male,White,17,6
<=50K,Male,White,22,30
<=50K,Male,White,27,40
<=50K,Female,White,23,35
<=50K,Male,White,33,45
<=50K,Male,White,43,20
<=50K,Male,White,28,20
<=50K,Female,White,41,40
<=50K,Male,Black,52,40
<=50K,Female,Black,25,20
<=50K,Male,White,63,35
<=50K,Male,White,59,45
<=50K,Female,White,45,40
>50K,Male,White,38,60
<=50K,Female,White,40,35
<=50K,Male,White,46,40
<=50K,Female,White,35,60
<=50K,Female,White,34,25
<=50K,Male,White,33,20
<=50K,Female,White,41,36
<=50K,Male,White,20,40
<=50K,Male,White,23,40
<=50K,Female,White,26,35
<=50K,Male,White,72,20
<=50K,Male,White,23,40
<=50K,Male,White,62,40
<=50K,Male,White,52,40
<=50K,Female,White,58,42
<=50K,Female,White,25,40
<=50K,Male,Black,24,40
<=50K,Male,White,19,8
<=50K,Male,White,43,40
<=50K,Female,Black,47,40
<=50K,Female,White,39,40
<=50K,Male,White,49,42
<=50K,Female,Black,53,30
<=50K,Male,White,32,45
>50K,Male,White,34,50
<=50K,Male,White,28,45
<=50K,Female,White,57,38
<=50K,Female,Amer-Indian-Eskimo,25,20
<=50K,Male,White,20,24
<=50K,Female,White,21,35
>50K,Male,White,34,50
>50K,Male,White,38,80
>50K,Male,White,50,50
<=50K,Male,Black,24,50
>50K,Male,White,37,45
>50K,Male,White,44,58
<=50K,Female,White,28,40
>50K,Male,White,42,40
<=50K,Female,White,74,9
<=50K,Male,White,38,50
<=50K,Male,White,44,40
<=50K,Female,Other,44,46
<=50K,Male,White,26,40
<=50K,Male,Black,36,40
>50K,Female,White,41,50
>50K,Male,White,67,48
<=50K,Male,White,39,50
<=50K,Female,Black,57,30
<=50K,Male,White,29,40
<=50K,Female,White,31,45
<=50K,Female,Black,34,40
<=50K,Male,White,44,40
<=50K,Male,White,29,40
<=50K,Female,White,30,40
<=50K,Male,White,27,40
<=50K,Male,White,27,50
<=50K,Female,White,32,45
<=50K,Female,White,58,8
<=50K,Male,White,35,40
<=50K,Male,White,21,36
<=50K,Male,White,28,40
<=50K,Male,White,46,50
<=50K,Female,White,36,40
<=50K,Female,White,72,40
<=50K,Female,Black,35,40
>50K,Female,Black,33,40
<=50K,Female,White,69,40
<=50K,Male,White,35,40
<=50K,Female,White,31,20
<=50K,Female,White,34,32
<=50K,Male,White,30,40
<=50K,Male,White,28,55
>50K,Male,White,54,35
>50K,Male,White,47,50
<=50K,Female,Black,24,40
>50K,Male,White,52,60
<=50K,Male,Amer-Indian-Eskimo,20,48
<=50K,Male,White,43,45
<=50K,Female,White,45,40
<=50K,Male,White,29,35
<=50K,Male,White,47,42
<=50K,Male,White,24,40
<=50K,Male,White,51,40
<=50K,Male,White,17,12
>50K,Male,White,37,40
<=50K,Female,White,27,70
>50K,Male,White,29,40
<=50K,Male,White,18,25
<=50K,Female,White,36,35
<=50K,Female,White,58,40
<=50K,Male,White,26,45
>50K,Male,White,65,30
>50K,Male,White,57,40
<=50K,Male,White,59,40
<=50K,Male,White,27,40
<=50K,Male,White,31,40
<=50K,Female,White,21,24
<=50K,Male,White,29,60
<=50K,Male,White,18,40
>50K,Male,White,52,47
<=50K,Male,White,57,80
<=50K,Male,White,42,40
<=50K,Female,Asian-Pac-Islander,55,40
>50K,Male,White,60,48
>50K,Male,White,31,40
<=50K,Female,White,23,40
<=50K,Male,White,27,40
<=50K,Female,Amer-Indian-Eskimo,23,25
>50K,Male,White,42,50
<=50K,Male,White,25,40
<=50K,Female,White,49,45
<=50K,Male,White,32,40
<=50K,Male,White,19,28
<=50K,Female,White,60,40
<=50K,Male,White,42,40
<=50K,Male,White,35,40
<=50K,Female,Black,48,37
>50K,Male,White,51,40
<=50K,Male,Amer-Indian-Eskimo,29,40
<=50K,Male,Black,36,40
<=50K,Female,White,17,21
<=50K,Female,White,52,60
<=50K,Male,White,24,40
<=50K,Male,White,24,50
<=50K,Male,White,26,40
<=50K,Female,White,27,20
<=50K,Male,White,39,60
<=50K,Male,Black,30,45
<=50K,Male,White,50,32
<=50K,Male,White,52,55
>50K,Male,White,46,45
<=50K,Female,White,23,20
<=50K,Female,Black,45,20
<=50K,Female,Black,65,24
<=50K,Male,White,29,55
<=50K,Male,White,47,40
<=50K,Male,Black,30,60
>50K,Male,White,34,45
<=50K,Male,White,38,64
>50K,Male,White,33,40
>50K,Male,White,49,26
<=50K,Female,Black,47,40
<=50K,Female,Black,49,40
>50K,Male,White,43,60
>50K,Female,Black,30,40
<=50K,Male,White,58,60
<=50K,Female,White,19,14
<=50K,Male,White,21,40
>50K,Male,White,33,60
<=50K,Male,White,47,50
>50K,Male,White,52,60
<=50K,Male,White,26,55
<=50K,Male,White,60,40
<=50K,Male,White,21,40
>50K,Male,White,36,50
<=50K,Male,White,31,45
>50K,Male,White,50,40
<=50K,Female,White,31,40
<=50K,Male,White,71,15
<=50K,Male,White,58,50
>50K,Male,White,30,40
<=50K,Male,White,20,20
<=50K,Male,White,24,50
>50K,Male,Asian-Pac-Islander,35,40
<=50K,Female,White,38,45
<=50K,Female,White,27,32
<=50K,Female,Asian-Pac-Islander,29,40
<=50K,Female,White,70,15
<=50K,Male,White,34,45
<=50K,Male,White,44,35
>50K,Male,White,43,40
>50K,Male,Black,44,40
<=50K,Male,White,35,60
<=50K,Male,White,27,40
<=50K,Male,White,43,38
<=50K,Female,White,20,25
>50K,Female,White,42,40
<=50K,Male,White,27,40
>50K,Male,Black,42,40
<=50K,Female,Asian-Pac-Islander,20,40
<=50K,Male,White,24,40
<=50K,Male,White,48,40
<=50K,Female,White,17,20
<=50K,Male,White,17,10
>50K,Male,White,33,40
>50K,Male,White,50,50
<=50K,Female,White,22,40
<=50K,Male,White,17,16
<=50K,Male,White,32,40
<=50K,Male,White,31,45
<=50K,Male,White,58,50
<=50K,Male,White,29,48
>50K,Male,White,37,40
>50K,Male,White,34,40
<=50K,Male,Black,23,40
<=50K,Female,White,18,5
<=50K,Female,White,34,40
<=50K,Male,White,66,4
<=50K,Female,White,45,55
<=50K,Male,White,41,35
<=50K,Male,White,26,30
<=50K,Male,White,54,40
<=50K,Female,Black,24,45
<=50K,Male,White,42,50
<=50K,Male,White,20,20
<=50K,Female,White,23,20
<=50K,Male,White,25,45
>50K,Male,White,35,60
>50K,Male,White,31,40
<=50K,Female,White,30,40
<=50K,Female,White,19,20
<=50K,Male,White,36,50
<=50K,Female,White,31,40
<=50K,Male,White,21,30
<=50K,Male,White,31,40
>50K,Female,White,46,65
>50K,Female,White,44,50
<=50K,Male,Black,40,40
<=50K,Male,Black,45,40
<=50K,Male,White,60,35
<=50K,Male,White,18,25
<=50K,Male,White,28,40
<=50K,Female,Black,36,40
<=50K,Male,White,36,40
<=50K,Male,White,40,40
<=50K,Female,White,36,35
<=50K,Female,Black,31,40
<=50K,Male,White,33,40
<=50K,Female,White,19,40
<=50K,Female,White,22,15
>50K,Male,White,34,45
<=50K,Male,White,33,40
<=50K,Male,White,41,60
<=50K,Male,White,29,40
>50K,Male,White,50,42
>50K,Male,White,42,45
>50K,Male,White,43,40
<=50K,Female,White,44,40
<=50K,Female,White,20,20
<=50K,Male,White,31,40
>50K,Male,White,65,59
<=50K,Female,White,23,24
<=50K,Female,Asian-Pac-Islander,55,40
<=50K,Male,White,26,45
<=50K,Female,White,25,15
<=50K,Female,Black,45,40
<=50K,Male,White,35,40
<=50K,Female,Black,36,36
<=50K,Male,White,43,50
<=50K,Female,Black,56,20
>50K,Male,White,42,40
<=50K,Female,White,19,25
<=50K,Male,White,55,72
>50K,Female,White,42,50
<=50K,Male,White,26,40
<=50K,Male,White,17,20
>50K,Female,White,42,40
>50K,Male,White,55,40
<=50K,Female,Black,32,40
<=50K,Male,Black,29,40
<=50K,Male,White,46,37
>50K,Male,White,29,40
<=50K,Male,White,22,20
<=50K,Male,White,58,40
<=50K,Male,White,23,50
<=50K,Male,White,39,40
<=50K,Male,White,27,38
>50K,Male,White,54,40
<=50K,Female,White,33,45
>50K,Female,White,46,40
<=50K,Male,Black,37,40
<=50K,Female,White,36,18
>50K,Female,White,59,38
<=50K,Male,White,34,40
>50K,Male,White,53,70
>50K,Male,White,51,55
<=50K,Female,White,32,42
<=50K,Male,White,31,40
<=50K,Female,White,22,30
<=50K,Female,White,47,50
<=50K,Male,White,32,40
<=50K,Female,White,26,38
<=50K,Male,White,37,32
<=50K,Male,White,31,55
>50K,Female,White,37,24
<=50K,Male,White,55,38
<=50K,Male,White,23,56
<=50K,Female,White,36,40
<=50K,Male,White,34,40
>50K,Male,White,43,50
<=50K,Male,White,54,40
<=50K,Male,White,43,40
<=50K,Female,White,28,42
>50K,Male,White,40,50
<=50K,Male,White,41,60
>50K,Female,Other,40,55
<=50K,Female,Black,42,38
<=50K,Male,White,61,50
<=50K,Male,White,18,30
<=50K,Male,White,59,16
<=50K,Female,White,21,40
>50K,Male,White,48,50
<=50K,Male,White,41,40
<=50K,Male,White,18,33
<=50K,Female,White,23,40
>50K,Male,White,60,60
<=50K,Male,Black,22,20
<=50K,Male,White,61,40
<=50K,Male,Black,25,40
>50K,Male,White,46,35
>50K,Male,White,43,40
<=50K,Male,White,43,40
<=50K,Male,Black,24,30
<=50K,Male,White,68,20
<=50K,Female,White,31,38
<=50K,Female,White,17,20
>50K,Male,White,32,48
<=50K,Male,White,50,40
>50K,Male,White,33,47
>50K,Male,White,64,40
<=50K,Male,White,20,30
<=50K,Female,White,30,36
<=50K,Male,Black,22,40
<=50K,Male,White,43,45
<=50K,Male,White,22,40
<=50K,Male,White,17,20
<=50K,Female,White,47,75
<=50K,Female,White,41,60
>50K,Male,White,56,50
<=50K,Male,White,64,45
>50K,Male,White,47,50
<=50K,Male,White,48,40
<=50K,Female,White,31,46
<=50K,Male,White,29,40
<=50K,Female,White,30,40
<=50K,Male,White,32,60
>50K,Male,White,57,42
<=50K,Female,White,62,40
<=50K,Female,White,39,24
<=50K,Male,White,43,25
<=50K,Male,White,24,40
<=50K,Male,White,42,15
>50K,Female,White,53,40
<=50K,Male,White,26,40
<=50K,Male,White,73,40
<=50K,Female,White,72,24
<=50K,Male,White,55,40
<=50K,Male,White,25,40
>50K,Female,White,41,50
<=50K,Male,White,24,50
<=50K,Male,White,63,6
<=50K,Male,White,17,20
<=50K,Male,White,35,50
>50K,Male,White,51,40
<=50K,Female,White,62,48
>50K,Male,White,55,40
<=50K,Male,White,43,40
<=50K,Female,White,40,50
>50K,Male,White,37,45
<=50K,Male,White,39,40
<=50K,Male,White,31,18
>50K,Female,White,61,40
<=50K,Female,White,26,55
<=50K,Male,White,46,50
<=50K,Female,White,26,40
>50K,Male,White,48,50
<=50K,Male,White,34,40
<=50K,Female,White,34,40
>50K,Male,White,59,40
<=50K,Female,White,34,40
>50K,Female,White,49,56
<=50K,Female,White,18,20
<=50K,Male,White,43,40
<=50K,Male,White,48,50
<=50K,Male,White,28,70
<=50K,Male,White,33,40
<=50K,Female,White,24,15
<=50K,Male,White,21,40
<=50K,Male,White,17,28
>50K,Male,White,39,50
<=50K,Male,White,29,40
>50K,Male,White,44,40
<=50K,Male,White,24,50
>50K,Male,White,71,40
>50K,Male,Asian-Pac-Islander,51,40
<=50K,Male,Black,55,25
>50K,Male,White,41,60
<=50K,Female,Black,23,7
<=50K,Female,White,38,40
>50K,Male,White,39,40
<=50K,Female,White,19,30
<=50K,Female,White,49,40
>50K,Male,White,32,40
<=50K,Male,White,27,70
>50K,Male,White,38,50
<=50K,Female,White,33,60
<=50K,Male,White,63,15
<=50K,Male,White,23,28
<=50K,Male,White,33,60
<=50K,Male,Black,54,40
<=50K,Female,White,29,45
<=50K,Female,Black,48,30
<=50K,Male,White,35,40
<=50K,Female,Asian-Pac-Islander,28,40
>50K,Male,White,37,50
>50K,Male,White,42,65
<=50K,Male,White,40,40
<=50K,Male,White,47,55
<=50K,Female,White,22,50
>50K,Male,White,30,45
<=50K,Male,White,28,40
<=50K,Male,White,63,55
<=50K,Male,White,51,20
<=50K,Female,White,22,40
<=50K,Male,Amer-Indian-Eskimo,27,40
<=50K,Male,White,35,45
<=50K,Female,White,46,38
<=50K,Male,White,37,52
<=50K,Male,Black,24,15
<=50K,Male,White,37,10
<=50K,Male,White,53,40
<=50K,Male,White,27,30
<=50K,Male,White,38,44
<=50K,Male,White,53,60
<=50K,Male,White,34,40
<=50K,Male,Black,23,40
>50K,Male,White,39,45
<=50K,Female,Asian-Pac-Islander,43,50
>50K,Male,Asian-Pac-Islander,67,40
<=50K,Male,White,81,30
<=50K,Male,White,21,20
<=50K,Male,White,23,25
<=50K,Male,White,25,40
<=50K,Female,White,42,38
<=50K,Female,Black,38,40
<=50K,Male,White,64,5
<=50K,Male,White,32,40
<=50K,Male,White,37,40
>50K,Male,White,51,60
<=50K,Female,White,22,42
<=50K,Female,White,33,40
<=50K,Male,White,42,55
<=50K,Female,White,19,10
<=50K,Male,White,51,40
<=50K,Female,White,23,40
>50K,Male,White,37,44
>50K,Male,White,37,99
<=50K,Female,White,47,25
>50K,Male,White,41,40
<=50K,Male,White,33,30
>50K,Male,White,31,40
<=50K,Female,Amer-Indian-Eskimo,31,40
<=50K,Male,Black,35,40
>50K,Male,White,38,40
<=50K,Female,White,18,45
<=50K,Male,White,20,40
<=50K,Female,Black,54,35
<=50K,Female,White,40,40
>50K,Female,White,36,45
<=50K,Male,White,43,35
<=50K,Male,White,44,40
>50K,Female,White,44,40
>50K,Male,White,43,43
<=50K,Female,Black,51,40
<=50K,Female,White,18,20
<=50K,Male,White,51,40
<=50K,Male,White,41,30
>50K,Male,White,44,70
<=50K,Male,White,33,40
>50K,Male,White,33,40
>50K,Male,White,42,40
<=50K,Male,White,25,45
<=50K,Female,White,32,38
<=50K,Male,White,32,70
<=50K,Female,White,36,40
<=50K,Male,White,28,40
<=50K,Female,White,20,20
>50K,Male,White,35,60
<=50K,Male,White,55,20
>50K,Male,Asian-Pac-Islander,48,40
<=50K,Female,White,36,20
>50K,Male,White,34,35
<=50K,Female,White,28,35
>50K,Male,White,67,40
<=50K,Male,White,37,40
<=50K,Male,White,44,70
<=50K,Female,White,25,40
<=50K,Female,White,21,40
>50K,Male,White,40,35
